"","ART_NUM","ART_START","ART_END","WORDS","DATE"
"1",1,15,45,774,18305
"2",2,46,80,765,18305
"3",3,81,105,318,18305
"4",4,106,176,2490,18319
"5",5,177,201,372,18319
"6",6,202,238,471,18319
"7",7,239,275,734,18319
"8",8,276,342,1723,18319
"9",9,343,367,372,18319
"10",10,368,429,1222,18319
"11",11,430,461,653,18334
"12",12,462,519,1684,18334
"13",13,520,555,776,18334
"14",14,556,577,135,18334
"15",15,578,609,673,18334
"16",16,610,625,163,18348
"17",17,626,647,270,18348
"18",18,648,699,1690,18348
"19",19,700,719,236,18348
"20",20,720,769,1669,18348
"21",21,770,827,1452,18348
"22",22,828,915,2266,18348
"23",23,916,937,243,18362
"24",24,938,963,480,18362
"25",25,964,997,615,18369
"26",26,998,1031,615,18369
"27",27,1032,1079,1267,18369
"28",28,1080,1159,2262,18369
"29",29,1160,1191,477,18369
"30",30,1192,1239,1106,18369
"31",31,1240,1271,477,18369
"32",32,1272,1323,1750,18369
"33",33,1324,1399,2211,18369
"34",34,1400,1447,1106,18369
"35",35,1448,1504,1335,18376
"36",36,1505,1560,1447,18376
"37",37,1561,1630,2006,18376
"38",38,1631,1672,884,18376
"39",39,1673,1770,1947,18376
"40",40,1771,1792,215,18376
"41",41,1793,1810,50,18378
"42",42,1811,1881,447,18390
"43",43,1882,1943,1878,18390
"44",44,1944,1971,472,18390
"45",45,1972,2024,1015,18404
"46",46,2025,2064,848,18404
"47",47,2065,2112,1460,18404
"48",48,2113,2158,1461,18404
"49",49,2159,2176,117,18405
"50",50,2177,2194,62,18405
"51",51,2195,2216,160,18418
"52",52,2217,2246,638,18418
"53",53,2247,2298,1579,18418
"54",54,2299,2332,823,18418
"55",55,2333,2434,2036,18418
"56",56,2435,2470,604,18432
"57",57,2471,2525,1141,18432
"58",58,2526,2581,1233,18432
"59",59,2582,2645,1757,18432
"60",60,2646,2665,427,18432
"61",61,2666,2717,1145,18432
"62",62,2718,2771,1233,18432
"63",63,2772,2837,1983,18432
"64",64,2838,2913,1827,18446
"65",65,2914,2959,1870,18446
"66",66,2960,3003,1109,18446
"67",67,3004,3033,644,18446
"68",68,3034,3109,1811,18446
"69",69,3110,3147,706,18446
"70",70,3148,3195,1802,18446
"71",71,3196,3224,422,18467
"72",72,3225,3251,374,18467
"73",73,3252,3282,459,18467
"74",74,3283,3311,552,18467
"75",75,3312,3360,1119,18467
"76",76,3361,3409,1038,18467
"77",77,3410,3444,722,18467
"78",78,3445,3485,804,18467
"79",79,3486,3522,776,18467
"80",80,3523,3595,1550,18467
"81",81,3596,3642,1411,18467
"82",82,3643,3707,2759,18467
"83",83,3708,3734,315,18467
"84",84,3735,3773,940,18467
"85",85,3774,3810,675,18467
"86",86,3811,3847,737,18467
"87",87,3848,3882,685,18467
"88",88,3883,3915,514,18467
"89",89,3916,3964,1121,18467
"90",90,3965,4010,606,18467
"91",91,4011,4048,616,18488
"92",92,4049,4142,3010,18488
"93",93,4143,4162,121,18505
"94",94,4163,4202,788,18509
"95",95,4203,4288,1027,18509
"96",96,4289,4363,1192,18523
"97",97,4364,4403,792,18523
"98",98,4404,4425,237,18535
"99",99,4426,4463,883,18537
"100",100,4464,4521,1356,18537
"101",101,4522,4549,384,18537
"102",102,4550,4585,873,18537
"103",103,4586,4637,1329,18551
"104",104,4638,4667,524,18565
"105",105,4668,4713,832,18565
"106",106,4714,4741,594,18565
"107",107,4742,4757,84,18566
"108",108,4758,4781,523,18579
"109",109,4782,4833,1292,18579
"110",110,4834,4889,1353,18579
"111",111,4890,4955,1809,18579
"112",112,4956,4985,584,18593
"113",113,4986,5011,185,18593
"114",114,5012,5053,816,18593
"115",115,5054,5155,1640,18593
"116",116,5156,5205,1310,18593
"117",117,5206,5237,736,18593
"118",118,5238,5267,592,18593
"119",119,5268,5287,347,18600
"120",120,5288,5345,1353,18607
"121",121,5346,5375,480,18621
"122",122,5376,5413,940,18621
"123",123,5414,5461,1317,18621
"124",124,5462,5529,1563,18621
"125",125,5530,5565,695,18621
"126",126,5566,5635,1213,18269
"127",127,5636,5685,1479,18269
"128",128,5686,5703,153,18283
"129",129,5704,5723,202,18283
"130",130,5724,5751,354,18290
"131",131,5752,5789,509,18290
"132",132,5790,5833,1278,18290
"133",133,5834,5867,502,18290
"134",134,5868,5888,266,18290
"135",135,5889,5924,779,18290
"136",136,5925,6102,2434,18290
"137",137,6103,6160,1512,18290
"138",138,6161,6198,1034,18304
"139",139,6199,6230,619,18318
"140",140,6231,6258,473,18318
"141",141,6259,6298,1190,18318
"142",142,6299,6336,1183,18333
"143",143,6337,6388,1289,18333
"144",144,6389,6416,600,18333
"145",145,6417,6462,1552,18333
"146",146,6463,6500,1087,18347
"147",147,6501,6574,1969,18347
"148",148,6575,6600,464,18347
"149",149,6601,6638,892,18347
"150",150,6639,6664,445,18347
"151",151,6665,6682,171,18348
"152",152,6683,6700,108,18348
"153",153,6701,6718,99,18348
"154",154,6719,6784,1558,18361
"155",155,6785,6814,327,18361
"156",156,6815,6872,1572,18361
"157",157,6873,6912,850,18361
"158",158,6913,6934,418,18368
"159",159,6935,6964,541,18368
"160",160,6965,6984,248,18368
"161",161,6985,7002,125,18368
"162",162,7003,7060,1378,18368
"163",163,7061,7118,1555,18368
"164",164,7119,7156,1172,18368
"165",165,7157,7216,1789,18368
"166",166,7217,7236,429,18375
"167",167,7237,7290,1191,18375
"168",168,7291,7316,305,18375
"169",169,7317,7350,787,18375
"170",170,7351,7368,64,18379
"171",171,7369,7386,73,18379
"172",172,7387,7436,937,18389
"173",173,7437,7484,1027,18389
"174",174,7485,7534,922,18389
"175",175,7535,7580,1543,18389
"176",176,7581,7624,1362,18389
"177",177,7625,7670,1107,18403
"178",178,7671,7708,1003,18403
"179",179,7709,7756,1002,18403
"180",180,7757,7806,1413,18403
"181",181,7807,7858,989,18403
"182",182,7859,7910,1937,18417
"183",183,7911,7946,943,18417
"184",184,7947,7976,606,18417
"185",185,7977,8019,1508,18417
"186",186,8020,8093,1690,18431
"187",187,8094,8133,921,18431
"188",188,8134,8205,1498,18431
"189",189,8206,8239,589,18431
"190",190,8240,8277,734,18431
"191",191,8278,8307,711,18431
"192",192,8308,8373,1720,18431
"193",193,8374,8391,101,18441
"194",194,8392,8419,464,18445
"195",195,8420,8465,1419,18445
"196",196,8466,8489,328,18445
"197",197,8490,8545,1271,18445
"198",198,8546,8587,1395,18445
"199",199,8588,8635,1126,18445
"200",200,8636,8691,1233,18445
"201",201,8692,8748,1233,18445
"202",202,8749,8794,966,18466
"203",203,8795,8818,244,18466
"204",204,8819,8837,393,18466
"205",205,8838,8859,288,18466
"206",206,8860,8905,831,18466
"207",207,8906,8927,457,18466
"208",208,8928,9017,2711,18466
"209",209,9018,9093,2048,18466
"210",210,9094,9117,310,18466
"211",211,9118,9157,725,18466
"212",212,9158,9197,860,18466
"213",213,9198,9231,659,18466
"214",214,9232,9265,533,18466
"215",215,9266,9315,1100,18466
"216",216,9316,9339,273,18466
"217",217,9340,9373,854,18466
"218",218,9374,9391,70,18470
"219",219,9392,9443,1350,18508
"220",220,9444,9515,1969,18508
"221",221,9516,9553,1233,18508
"222",222,9554,9603,1342,18508
"223",223,9604,9639,697,18508
"224",224,9640,9679,1222,18522
"225",225,9680,9733,1520,18522
"226",226,9734,9961,5925,18522
"227",227,9962,9999,1227,18522
"228",228,10000,10029,574,18522
"229",229,10030,10057,364,18522
"230",230,10058,10113,1544,18522
"231",231,10114,10169,719,18522
"232",232,10170,10201,620,18522
"233",233,10202,10227,512,18536
"234",234,10228,10249,210,18536
"235",235,10250,10269,268,18536
"236",236,10270,10309,813,18536
"237",237,10310,10367,1653,18536
"238",238,10368,10395,515,18536
"239",239,10396,10437,1081,18550
"240",240,10438,10465,265,18564
"241",241,10466,10499,897,18564
"242",242,10500,10523,249,18564
"243",243,10524,10583,1666,18564
"244",244,10584,10621,884,18564
"245",245,10622,10675,1653,18564
"246",246,10676,10729,1653,18564
"247",247,10730,10777,1251,18578
"248",248,10778,10853,2006,18578
"249",249,10854,10905,1132,18592
"250",250,10906,10959,1551,18592
"251",251,10960,10982,203,18592
"252",252,10983,11028,809,18592
"253",253,11029,11072,893,18592
"254",254,11073,11110,380,18606
"255",255,11111,11186,1592,18606
"256",256,11187,11238,1150,18606
"257",257,11239,11284,945,18620
"258",258,11285,11330,958,18620
"259",259,11331,11356,211,18268
"260",260,11357,11408,2032,18268
"261",261,11409,11432,254,18289
"262",262,11433,11520,2247,18289
"263",263,11521,11546,204,18289
"264",264,11547,11578,387,18289
"265",265,11579,11688,658,18289
"266",266,11689,11728,1121,18303
"267",267,11729,11778,1381,18317
"268",268,11779,11798,120,18331
"269",269,11799,11830,526,18345
"270",270,11831,11882,1524,18345
"271",271,11883,11904,174,18359
"272",272,11905,11972,1740,18373
"273",273,11973,12000,369,18373
"274",274,12001,12017,63,18373
"275",275,12018,12073,1340,18401
"276",276,12074,12119,1364,18401
"277",277,12120,12157,861,18401
"278",278,12158,12203,803,18415
"279",279,12204,12249,1525,18415
"280",280,12250,12281,820,18415
"281",281,12282,12351,2048,18429
"282",282,12352,12399,1349,18429
"283",283,12400,12449,1576,18429
"284",284,12450,12499,1522,18429
"285",285,12500,12537,859,18429
"286",286,12538,12585,1349,18429
"287",287,12586,12607,151,18429
"288",288,12608,12629,151,18429
"289",289,12630,12687,1477,18443
"290",290,12688,12737,1430,18443
"291",291,12738,12771,711,18443
"292",292,12772,12835,1135,18464
"293",293,12836,12894,1319,18464
"294",294,12895,12949,788,18464
"295",295,12950,13003,831,18464
"296",296,13004,13070,701,18464
"297",297,13071,13090,288,18464
"298",298,13091,13168,1145,18485
"299",299,13169,13192,183,18485
"300",300,13193,13238,1278,18485
"301",301,13239,13277,862,18485
"302",302,13278,13327,1762,18506
"303",303,13328,13397,1674,18520
"304",304,13398,13443,1215,18520
"305",305,13444,13487,786,18520
"306",306,13488,13515,425,18520
"307",307,13516,13575,2037,18534
"308",308,13576,13679,458,18534
"309",309,13680,13723,1245,18534
"310",310,13724,13795,1910,18548
"311",311,13796,13821,335,18548
"312",312,13822,13875,1258,18576
"313",313,13876,13967,2864,18590
"314",314,13968,14013,849,18590
"315",315,14014,14061,1331,18590
"316",316,14062,14089,450,18590
"317",317,14090,14107,51,18590
"318",318,14108,14183,3025,18590
"319",319,14184,14211,585,18590
"320",320,14212,14229,102,18590
"321",321,14230,14249,39,18590
"322",322,14250,14299,262,18604
"323",323,14300,14371,1443,18604
"324",324,14372,14409,844,18604
"325",325,14410,14441,700,18604
"326",326,14442,14469,485,18618
"327",327,14470,14509,123,18618
"328",328,14510,14563,1480,18618
"329",329,14564,14613,816,18618
"330",330,14614,14659,1296,18273
"331",331,14660,14685,299,18308
"332",332,14686,14711,272,18308
"333",333,14712,14789,1320,18323
"334",334,14790,14809,179,18337
"335",335,14810,14849,624,18337
"336",336,14850,14879,491,18351
"337",337,14880,14917,694,18351
"338",338,14918,14999,2312,18351
"339",339,15000,15035,678,18365
"340",340,15036,15057,268,18365
"341",341,15058,15095,827,18365
"342",342,15096,15135,756,18379
"343",343,15136,15186,1376,18393
"344",344,15187,15233,1561,18407
"345",345,15234,15284,1865,18407
"346",346,15285,15323,830,18421
"347",347,15324,15342,264,18435
"348",348,15343,15373,524,18435
"349",349,15374,15434,1647,18435
"350",350,15435,15481,965,18456
"351",351,15482,15558,1858,18456
"352",352,15559,15611,1095,18456
"353",353,15612,15656,1024,18456
"354",354,15657,15720,869,18477
"355",355,15721,15789,2662,18477
"356",356,15790,15831,649,18498
"357",357,15832,15903,1351,18512
"358",358,15904,15963,1100,18512
"359",359,15964,16004,998,18512
"360",360,16005,16039,576,18512
"361",361,16040,16086,1595,18512
"362",362,16087,16125,1034,18512
"363",363,16126,16160,942,18512
"364",364,16161,16199,834,18512
"365",365,16200,16250,1568,18526
"366",366,16251,16271,232,18526
"367",367,16272,16302,346,18526
"368",368,16303,16349,724,18526
"369",369,16350,16428,2309,18526
"370",370,16429,16465,1072,18526
"371",371,16466,16515,1297,18540
"372",372,16516,16559,1088,18540
"373",373,16560,16597,852,18540
"374",374,16598,16643,1237,18540
"375",375,16644,16698,785,18540
"376",376,16699,16732,784,18540
"377",377,16733,16764,457,18540
"378",378,16765,16822,1283,18540
"379",379,16823,16876,1527,18540
"380",380,16877,16940,1684,18540
"381",381,16941,16996,1539,18540
"382",382,16997,17023,188,18554
"383",383,17024,17067,939,18554
"384",384,17068,17139,1976,18554
"385",385,17140,17183,1332,18554
"386",386,17184,17227,937,18554
"387",387,17228,17264,826,18568
"388",388,17265,17318,944,18568
"389",389,17319,17344,449,18568
"390",390,17345,17384,754,18568
"391",391,17385,17440,1253,18582
"392",392,17441,17525,1368,18582
"393",393,17526,17577,1342,18582
"394",394,17578,17621,689,18582
"395",395,17622,17649,469,18582
"396",396,17650,17705,333,18582
"397",397,17706,17759,1865,18582
"398",398,17760,17823,1558,18582
"399",399,17824,17863,962,18584
"400",400,17864,17895,676,18596
"401",401,17896,17921,264,18596
"402",402,17922,17953,676,18596
"403",403,17954,18003,1159,18596
"404",404,18004,18061,1231,18596
"405",405,18062,18115,676,18610
"406",406,18116,18161,754,18610
"407",407,18162,18209,1401,18610
"408",408,18210,18313,2524,18610
"409",409,18314,18359,1195,18610
"410",410,18360,18413,1292,18610
"411",411,18414,18471,1483,18624
"412",412,18472,18507,696,18279
"413",413,18508,18553,815,18279
"414",414,18554,18623,1312,18279
"415",415,18624,18683,1535,18279
"416",416,18684,18765,2145,18279
"417",417,18766,18791,253,18300
"418",418,18792,18817,263,18300
"419",419,18818,18879,776,18300
"420",420,18880,18935,1790,18300
"421",421,18936,18979,1309,18322
"422",422,18980,19031,1389,18336
"423",423,19032,19081,1034,18336
"424",424,19082,19123,1252,18336
"425",425,19124,19153,364,18336
"426",426,19154,19197,1680,18340
"427",427,19198,19249,2510,18340
"428",428,19250,19301,1516,18340
"429",429,19302,19335,999,18364
"430",430,19336,19365,505,18364
"431",431,19366,19435,2670,18364
"432",432,19436,19483,1078,18392
"433",433,19484,19587,2787,18392
"434",434,19588,19621,180,18392
"435",435,19622,19715,513,18392
"436",436,19716,19761,1214,18392
"437",437,19762,19791,426,18392
"438",438,19792,19841,1124,18392
"439",439,19842,19903,1920,18392
"440",440,19904,19985,2875,18406
"441",441,19986,20031,645,18406
"442",442,20032,20121,2903,18420
"443",443,20122,20175,1553,18420
"444",444,20176,20221,646,18420
"445",445,20222,20285,1466,18420
"446",446,20286,20315,502,18420
"447",447,20316,20355,818,18441
"448",448,20356,20389,561,18462
"449",449,20390,20433,898,18462
"450",450,20434,20461,410,18462
"451",451,20462,20501,711,18462
"452",452,20502,20551,1300,18462
"453",453,20552,20603,1327,18462
"454",454,20604,20623,100,18475
"455",455,20624,20671,1171,18483
"456",456,20672,20717,1394,18483
"457",457,20718,20776,1413,18483
"458",458,20777,20864,2322,18483
"459",459,20865,20895,192,18518
"460",460,20896,20989,3551,18532
"461",461,20990,21017,301,18532
"462",462,21018,21047,406,18532
"463",463,21048,21107,762,18532
"464",464,21108,21147,967,18532
"465",465,21148,21181,764,18532
"466",466,21182,21255,1503,18532
"467",467,21256,21319,2224,18546
"468",468,21320,21369,1269,18546
"469",469,21370,21419,1135,18546
"470",470,21420,21473,1551,18546
"471",471,21474,21505,411,18560
"472",472,21506,21543,657,18574
"473",473,21544,21595,1147,18574
"474",474,21596,21627,505,18574
"475",475,21628,21679,1822,18574
"476",476,21680,21769,3507,18588
"477",477,21770,21817,1283,18588
"478",478,21818,21849,600,18602
"479",479,21850,21903,696,18602
"480",480,21904,21993,2378,18616
"481",481,21994,22047,1034,18616
"482",482,22048,22083,797,18616
"483",483,22084,22123,814,18616
"484",484,22124,22176,1270,18278
"485",485,22177,22210,600,18278
"486",486,22211,22276,1927,18306
"487",487,22277,22324,1007,18306
"488",488,22325,22386,2849,18306
"489",489,22387,22428,737,18306
"490",490,22429,22515,1439,18306
"491",491,22516,22549,590,18320
"492",492,22550,22591,820,18320
"493",493,22592,22659,1727,18320
"494",494,22660,22703,821,18335
"495",495,22704,22735,493,18335
"496",496,22736,22771,839,18349
"497",497,22772,22972,728,18349
"498",498,22973,23040,2608,18349
"499",499,23041,23156,3669,18349
"500",500,23157,23228,2075,18349
"501",501,23229,23292,1773,18349
"502",502,23293,23328,839,18349
"503",503,23329,23396,2608,18349
"504",504,23397,23512,3669,18349
"505",505,23513,23600,3329,18363
"506",506,23601,23680,2115,18363
"507",507,23681,23730,1090,18363
"508",508,23731,23776,933,18363
"509",509,23777,23831,1786,18391
"510",510,23832,23936,3386,18391
"511",511,23937,23990,1313,18391
"512",512,23991,24056,1598,18391
"513",513,24057,24116,2063,18405
"514",514,24117,24167,1168,18405
"515",515,24168,24233,1858,18419
"516",516,24234,24305,2380,18419
"517",517,24306,24365,2063,18419
"518",518,24366,24398,538,18440
"519",519,24399,24488,3093,18440
"520",520,24489,24532,453,18441
"521",521,24533,24661,3753,18461
"522",522,24662,24729,1425,18482
"523",523,24730,24756,395,18482
"524",524,24757,24819,1567,18482
"525",525,24820,24879,1405,18482
"526",526,24880,24919,763,18496
"527",527,24920,24967,851,18517
"528",528,24968,24993,317,18517
"529",529,24994,25035,1017,18517
"530",530,25036,25077,801,18517
"531",531,25078,25150,4062,18531
"532",532,25151,25215,1415,18531
"533",533,25216,25238,324,18531
"534",534,25239,25279,1178,18531
"535",535,25280,25331,1285,18545
"536",536,25332,25411,2495,18559
"537",537,25412,25445,794,18573
"538",538,25446,25515,1765,18587
"539",539,25516,25609,3025,18587
"540",540,25610,25672,1435,18601
"541",541,25673,25725,299,18601
"542",542,25726,25763,642,18601
"543",543,25764,25826,1507,18601
"544",544,25827,25894,2059,18601
"545",545,25895,25939,1267,18601
"546",546,25940,25995,1455,18277
"547",547,25996,26056,2218,18277
"548",548,26057,26114,1250,18277
"549",549,26115,26174,1576,18305
"550",550,26175,26212,1227,18305
"551",551,26213,26252,752,18305
"552",552,26253,26271,137,18322
"553",553,26272,26303,393,18333
"554",554,26304,26355,1358,18333
"555",555,26356,26427,1472,18333
"556",556,26428,26515,2300,18333
"557",557,26516,26549,775,18333
"558",558,26550,26587,1053,18333
"559",559,26588,26635,837,18333
"560",560,26636,26707,1146,18333
"561",561,26708,26789,564,18347
"562",562,26790,26905,815,18347
"563",563,26906,27021,718,18347
"564",564,27022,27059,864,18347
"565",565,27060,27273,1478,18347
"566",566,27274,27447,1379,18347
"567",567,27448,27505,1498,18347
"568",568,27506,27719,1406,18347
"569",569,27720,27773,1368,18361
"570",570,27774,27803,338,18361
"571",571,27804,27845,1065,18375
"572",572,27846,27865,109,18382
"573",573,27866,27909,726,18389
"574",574,27910,28265,889,18389
"575",575,28266,28287,260,18417
"576",576,28288,28337,1383,18417
"577",577,28338,28393,1111,18417
"578",578,28394,28823,3351,18417
"579",579,28824,28875,799,18459
"580",580,28876,28921,1029,18459
"581",581,28922,29377,2971,18459
"582",582,29378,29413,560,18459
"583",583,29414,29451,694,18480
"584",584,29452,29501,1511,18515
"585",585,29502,30577,4666,18550
"586",586,30578,30609,454,18550
"587",587,30610,30631,241,18550
"588",588,30632,30699,1394,18550
"589",589,30700,30755,1275,18550
"590",590,30756,30823,2608,18571
"591",591,30824,32117,9672,18571
"592",592,32118,32171,1345,18571
"593",593,32172,32209,695,18606
"594",594,32210,32271,1670,18303
"595",595,32272,32795,8248,18325
"596",596,32796,32849,2021,18367
"597",597,32850,32883,571,18367
"598",598,32884,32942,656,18402
"599",599,32943,33038,2070,18423
"600",600,33039,33066,410,18486
"601",601,33067,33090,283,18486
"602",602,33091,33118,291,18486
"603",603,33119,33204,1575,18486
"604",604,33205,33732,2897,18486
"605",605,33733,33796,2063,18507
"606",606,33797,34526,4584,18507
"607",607,34527,34550,301,18507
"608",608,34551,34622,1551,18542
"609",609,34623,34654,610,18542
"610",610,34655,34712,1680,18542
"611",611,34713,34744,512,18563
"612",612,34745,34776,482,18563
"613",613,34777,35970,7021,18563
"614",614,35971,36018,1312,18563
"615",615,36019,36052,527,18563
"616",616,36053,36086,629,18563
"617",617,36087,36148,1432,18563
"618",618,36149,36198,1469,18563
"619",619,36199,36224,390,18563
"620",620,36225,36274,1110,18584
"621",621,36275,37330,8200,18584
"622",622,37331,37470,2050,18598
"623",623,37471,38046,3544,18598
